V-3,O-3,H-3,L-3,V-2,O-2,H-2,L-2,V-1,O-1,H-1,L-1,Actual,Date
36191330,190.5,194.97,189.46,41626820,190.0,190.7,184.99,67678680,178.37,181.47,175.51,179.73,11/21/2018
28962980,227.93,230.44,227.3,41990210,232.95,237.64,232.31,24413480,234.9,238.13,234.67,236.39,10/15/2019
20565620,159.51,159.77,158.44,52126240,157.9,158.26,153.83,37350060,155.8,155.8,152.75,152.02,09/22/2017
50455070,250.9,263.11,249.38,50721830,270.8,271.7,259.0,42223820,262.74,267.37,261.23,268.7,04/09/2020
25649890,160.14,162.0,159.93,29451050,160.1,163.12,160.0,27215770,163.8,163.89,162.61,163.64,08/31/2017
18069930,191.35,191.97,190.21,16859020,191.39,192.61,191.15,21480120,192.42,192.88,190.44,191.55,06/14/2018
36529680,186.41,189.7,185.41,26544720,186.27,191.75,186.02,33031360,189.91,192.47,188.84,186.93,05/17/2019
25418110,154.11,154.48,151.74,33508960,155.48,158.13,154.32,26147280,155.79,156.33,153.66,156.25,01/29/2019
40387960,92.9,93.66,92.14,36505420,93.97,94.55,93.63,35783320,94.44,95.77,94.3,95.49,07/01/2016
33753490,165.38,167.53,164.39,47597670,166.0,167.45,159.09,64398230,160.4,162.11,155.3,156.86,12/21/2018
20544600,177.81,178.82,176.88,34693280,174.95,175.39,172.66,65270950,170.6,171.22,165.43,166.84,04/23/2018
44366140,149.99,151.83,149.16,35907770,151.78,153.92,151.69,25402270,153.8,154.72,153.54,153.89,09/28/2017
26320740,121.67,122.44,121.6,20495340,122.14,122.35,121.6,30327110,120.93,121.63,120.66,121.15,01/31/2017
28010430,107.52,108.37,107.16,26296260,108.23,108.94,108.01,23839880,108.71,108.9,107.76,108.52,08/11/2016
24817940,105.8,106.5,105.5,31639010,105.66,106.57,105.64,26675250,106.14,106.8,105.62,107.7,09/02/2016
29616190,154.2,157.66,153.26,33259460,157.5,157.88,155.98,30273990,156.41,156.73,152.62,154.15,01/23/2019
18798250,151.8,153.84,151.8,15649120,153.35,153.93,153.06,32429770,153.75,153.99,147.3,149.89,07/28/2017
30386830,112.73,112.75,111.44,32970790,110.82,112.45,110.68,44434220,111.29,111.52,109.56,110.93,10/15/2015
40290580,98.25,98.84,96.92,53454620,96.82,97.97,96.42,92143920,104.27,104.35,102.75,102.83,07/28/2016
64782910,155.19,155.19,146.02,72187710,145.74,146.09,142.51,34089190,147.16,147.45,145.15,147.5,06/14/2017
52411070,114.42,114.79,111.55,29800240,111.64,113.39,111.55,24587490,113.0,113.18,112.34,113.69,09/28/2016
41411350,223.52,228.35,222.57,31801970,225.75,226.84,222.52,36810120,222.15,222.95,217.27,217.79,09/18/2018
43751810,191.51,191.98,186.6,49696100,191.66,192.88,184.58,29771210,188.75,189.76,186.55,188.95,03/28/2019
35907770,151.78,153.92,151.69,25402270,153.8,154.72,153.54,21983410,153.89,154.28,152.7,153.21,09/29/2017
67678680,178.37,181.47,175.51,31096240,179.73,180.27,176.55,23623970,174.94,176.6,172.1,174.24,11/26/2018
38866100,98.84,98.89,96.09,35290570,96.0,96.76,95.8,34240470,96.31,96.9,95.92,96.4,02/23/2016
28310840,109.72,110.54,109.66,29164190,110.12,111.99,110.01,25931710,111.95,112.42,111.4,111.36,11/23/2016
44662320,174.24,174.95,170.26,41156140,171.51,174.77,170.88,45941750,176.73,181.29,174.93,182.66,11/29/2018
28001190,285.08,285.83,278.2,34320200,284.73,289.67,283.89,45765970,289.96,294.53,288.35,286.25,05/01/2020
36054570,172.86,175.08,172.35,28204640,174.65,175.57,172.85,31644240,172.4,173.94,170.34,168.99,02/08/2019
21890090,324.39,325.62,320.78,34312550,323.35,331.75,323.23,23913630,330.25,333.6,327.32,332.14,06/09/2020
41523580,182.66,182.8,177.7,39424260,180.29,180.33,177.03,40537700,184.46,184.94,181.21,180.95,12/04/2018
35074380,97.22,98.09,96.84,38258300,98.67,99.74,98.11,56293490,99.68,100.73,98.64,99.44,05/27/2016
34412090,118.34,120.24,118.22,23687350,120.0,120.5,119.71,25554290,119.4,120.09,119.37,120.45,01/20/2017
50991030,199.0,199.85,193.79,46725710,191.63,197.18,191.45,60547340,193.9,194.48,185.93,188.39,11/15/2018
37847260,190.3,192.14,189.34,67812280,199.13,201.76,197.31,62317430,200.58,208.38,200.35,207.03,08/03/2018
54571440,148.7,148.83,145.9,40622910,149.56,151.82,148.52,45034370,151.29,154.53,149.63,152.5,01/10/2019
19005150,194.61,195.96,193.61,23975350,194.99,195.19,190.1,20912890,191.9,192.2,189.07,190.3,07/31/2018
29271890,281.8,284.54,279.95,28001190,285.08,285.83,278.2,34320200,284.73,289.67,283.89,289.96,04/30/2020
26575010,176.49,178.94,176.41,20544600,177.81,178.82,176.88,34693280,174.95,175.39,172.66,170.6,04/20/2018
39424260,180.29,180.33,177.03,40537700,184.46,184.94,181.21,41141250,180.95,182.39,176.27,171.76,12/06/2018
25763840,109.72,109.9,108.88,25820460,108.78,110.0,108.2,37322930,110.42,112.19,110.27,109.51,04/05/2016
34117030,107.12,108.87,106.55,50901380,107.71,107.81,104.08,32230590,106.57,107.68,106.16,106.7,11/16/2016
33653020,93.33,93.57,92.11,28641180,93.48,93.57,92.46,76183460,92.72,92.78,89.47,90.0,05/13/2016
42009830,94.16,95.21,93.89,30417880,94.64,94.64,93.57,31834020,94.64,95.43,94.52,95.87,05/23/2016
96531890,107.09,109.89,105.05,83825220,112.23,113.24,110.02,53075960,112.17,113.31,111.54,112.03,08/31/2015
40382890,163.05,167.54,162.88,50908540,169.79,173.09,169.0,40113790,172.36,174.82,171.77,172.05,02/20/2018
17192770,149.89,150.23,149.19,19690420,149.9,150.33,148.13,33669020,149.1,150.22,148.41,159.28,08/02/2017
31639010,105.66,106.57,105.64,26675250,106.14,106.8,105.62,26393770,107.7,108.0,106.82,107.9,09/06/2016
29491910,163.75,164.25,160.56,21610300,162.71,162.99,160.52,21905160,162.09,162.24,160.36,160.86,09/08/2017
63000140,97.96,100.48,95.74,79356010,96.2,97.71,95.36,52960810,98.41,98.65,95.5,95.1,01/20/2016
24093300,157.9,160.0,157.65,18969700,159.78,160.87,159.23,16252850,160.42,160.71,159.6,156.75,10/19/2017
51368540,177.25,177.3,173.2,41438280,174.51,174.95,170.53,39075250,172.0,172.0,170.06,170.16,01/29/2018
33136130,100.51,100.89,99.64,36884490,100.58,101.71,100.45,46026600,102.37,103.75,101.37,102.39,03/07/2016
23446340,137.08,137.44,136.7,36362440,137.89,140.15,137.6,26170690,140.0,140.28,138.76,138.78,03/03/2017
39017490,184.85,187.33,183.74,26148590,185.8,188.39,185.79,31440300,188.35,188.99,185.92,186.23,03/20/2019
35617230,164.0,164.33,160.63,41976500,162.13,167.26,161.84,52228910,166.41,169.2,165.27,175.23,05/02/2018
26551000,196.05,200.29,195.21,21124240,199.68,199.88,197.31,21513990,200.37,200.61,198.03,198.8,06/21/2019
16543880,185.26,186.41,184.28,17426160,185.42,188.43,185.2,19636390,189.5,190.68,189.3,190.71,07/10/2018
25184600,159.65,160.56,159.27,25649890,160.14,162.0,159.93,29451050,160.1,163.12,160.0,163.8,08/30/2017
23583810,117.33,117.84,116.78,24308210,118.18,118.21,117.45,19977160,117.25,117.76,113.8,116.86,10/20/2016
32429770,153.75,153.99,147.3,17192770,149.89,150.23,149.19,19690420,149.9,150.33,148.13,149.1,08/01/2017
42876370,114.32,116.31,114.01,40827260,116.04,117.65,115.5,34525630,116.43,117.44,116.01,116.1,08/19/2015
56157370,111.07,111.99,108.8,44654830,112.02,112.25,108.98,96197190,108.91,109.52,105.81,107.28,12/21/2015
33674960,165.67,166.33,161.22,28331540,162.62,165.42,162.41,27850370,164.12,165.73,163.37,164.0,04/27/2018
30280450,221.16,221.83,217.27,28802550,218.93,222.99,216.76,22692880,222.3,222.64,219.34,217.86,10/18/2018
24129630,110.31,111.72,109.7,59118740,109.88,111.32,108.05,57097740,111.09,111.09,105.83,107.12,11/11/2016
23129400,188.77,188.84,186.21,17186760,188.23,189.65,187.65,22409110,187.6,188.75,186.87,187.72,05/30/2018
30273990,156.41,156.73,152.62,23046560,154.15,155.14,151.7,25418110,154.11,154.48,151.74,155.48,01/25/2019
26932880,194.86,196.0,193.6,18253190,193.95,195.97,193.39,21674630,194.7,196.79,193.6,191.55,06/14/2019
40537700,184.46,184.94,181.21,41141250,180.95,182.39,176.27,42704910,171.76,174.78,170.42,173.49,12/07/2018
36529740,179.8,180.54,177.81,23714690,180.2,182.14,178.62,27948160,178.92,180.59,177.91,176.42,05/29/2019
30967960,175.44,179.83,174.52,29773430,184.28,184.99,181.14,22526310,183.08,185.47,182.15,186.51,06/07/2019
45870130,95.0,96.84,94.08,46418230,95.86,97.33,95.19,46315620,96.52,96.92,93.69,93.13,02/08/2016
16529130,141.48,141.88,140.87,14676420,141.41,142.04,141.11,17302160,141.88,142.0,140.45,141.22,04/20/2017
20523870,174.35,175.61,173.93,21532200,174.55,175.06,173.41,23751690,173.16,174.3,173.0,174.59,01/11/2018
23531670,139.39,141.22,138.62,33348400,140.91,144.04,140.62,29174040,143.68,144.49,143.19,144.19,03/30/2017
53038870,364.0,372.38,362.27,48155850,365.0,368.79,358.52,34380630,360.7,365.0,357.57,364.41,06/26/2020
17897140,201.85,203.73,201.56,20191840,203.31,204.39,201.71,17595210,202.45,204.0,202.2,204.09,07/15/2019
17186760,188.23,189.65,187.65,22409110,187.6,188.75,186.87,18503410,187.72,188.0,186.78,187.22,05/31/2018
20320420,141.6,142.15,141.01,17775510,141.91,142.38,141.05,16529130,141.48,141.88,140.87,141.41,04/18/2017
66028640,114.31,115.7,113.31,31396130,115.39,115.86,114.1,36792100,113.87,115.21,113.45,113.65,10/31/2016
43403760,113.46,113.77,110.53,28174980,111.4,112.35,111.23,26538700,110.98,111.46,109.55,108.53,11/04/2016
36340670,112.46,113.37,111.8,21634520,112.71,113.05,112.28,29707270,113.06,114.31,112.63,113.4,10/05/2016
20118620,153.42,154.43,153.33,24452750,153.97,154.17,152.38,16383610,153.17,153.33,152.22,153.58,06/02/2017
36884490,100.58,101.71,100.45,46026600,102.37,103.75,101.37,35890740,102.39,102.83,100.96,100.78,03/08/2016
18890250,171.58,173.0,171.38,21846400,174.16,175.87,173.95,16991610,173.71,175.3,173.17,173.21,02/27/2019
42287640,195.34,197.69,190.78,43751810,191.51,191.98,186.6,49696100,191.66,192.88,184.58,188.75,03/27/2019
28865310,199.54,203.38,198.61,24185530,203.12,204.15,202.52,17841920,202.83,204.94,202.34,204.43,04/23/2019
30341520,142.94,143.35,140.06,20320420,141.6,142.15,141.01,17775510,141.91,142.38,141.05,141.48,04/17/2017
